,구별,합계,한국인,등록외국인,65세이상고령자
0,자치구,계,계,계,65세이상고령자
1,합계,10197604,9926968,270636,1321458
2,종로구,162820,153589,9231,25425
3,중구,133240,124312,8928,20764
4,용산구,244203,229456,14747,36231
5,성동구,311244,303380,7864,39997
6,광진구,372164,357211,14953,42214
7,동대문구,369496,354079,15417,54173
8,중랑구,414503,409882,4621,56774
9,성북구,461260,449773,11487,64692
10,강북구,330192,326686,3506,54813
11,도봉구,348646,346629,2017,51312
12,노원구,569384,565565,3819,71941
13,은평구,494388,489943,4445,72334
14,서대문구,327163,314982,12181,48161
15,마포구,389649,378566,11083,48765
16,양천구,479978,475949,4029,52975
17,강서구,603772,597248,6524,72548
18,구로구,447874,416487,31387,56833
19,금천구,255082,236353,18729,32970
20,영등포구,402985,368072,34913,52413
21,동작구,412520,400456,12064,56013
22,관악구,525515,507203,18312,68082
23,서초구,450310,445994,4316,51733
24,강남구,570500,565550,4950,63167
25,송파구,667483,660584,6899,72506
26,강동구,453233,449019,4214,54622
27,,,,,
